reference_number,procurement_id,vendor_name,vendor_postal_code,buyer_name,contract_date,economic_object_code,description_en,description_fr,contract_period_start,delivery_date,contract_value,original_value,amendment_value,comments_en,comments_fr,additional_comments_en,additional_comments_fr,agreement_type_code,trade_agreement,land_claims,commodity_type,commodity_code,country_of_vendor,solicitation_procedure,limited_tendering_reason,trade_agreement_exceptions,aboriginal_business,aboriginal_business_incidental,intellectual_property,potential_commercial_exploitation,former_public_servant,contracting_entity,standing_offer_number,instrument_type,ministers_office,number_of_bids,article_6_exceptions,award_criteria,socioeconomic_indicator,reporting_period,record_created,record_modified,user_modified,owner_org,owner_org_title
C-2016-2017-Q4-01073,LSO60027001,OMNICOM TRANSLATIONS INC.,,,2017-03-15,494,Transl. Serv. - Operating Expenses,Serv. de trad. - Charges de fonct.,2017-03-15,2017-04-12,14094.26,14094.26,0,"This contract was competitively sourced.For a contract with task authorizations, the realized amount of the contract is contingent on the number of task authorizations issued and may be less than the amount proactively disclosed, dependent on the operational requirements of the department","Ce contrat a été attribué de façon concurrentielle.Pour un contrat avec autorisations de tâches, le montant réalisé du contrat dépend du nombre d’autorisations de tâches émises. Ce montant peut être inférieur au montant divulgué proactivement, en fonction des besoins opérationnels du ministère.",,,0,,,S,R109,CA,TC,0,0,,N,A65,N,N,,EN966-140305/081/ZF,C,,,,,,2016-2017-Q4,,,*,pwgsc-tpsgc,
C-2016-2017-Q4-01074,LSO60027101,TRADUCTIONS VICEVERSA,,,2017-03-16,494,Transl. Serv. - Operating Expenses,Serv. de trad. - Charges de fonct.,2017-03-20,2017-05-15,16383.94,16383.94,0,"This contract was competitively sourced.For a contract with task authorizations, the realized amount of the contract is contingent on the number of task authorizations issued and may be less than the amount proactively disclosed, dependent on the operational requirements of the department","Ce contrat a été attribué de façon concurrentielle.Pour un contrat avec autorisations de tâches, le montant réalisé du contrat dépend du nombre d’autorisations de tâches émises. Ce montant peut être inférieur au montant divulgué proactivement, en fonction des besoins opérationnels du ministère.",,,0,,,S,R109,CA,TC,0,0,,N,A65,N,N,,EN966-140305/054/ZF,C,,,,,,2016-2017-Q4,,,*,pwgsc-tpsgc,
C-2016-2017-Q4-01075,LSO60027102,EXACT LEGAL TRANSLATIONS INC.,,,2017-03-16,494,Transl. Serv. - Operating Expenses,Serv. de trad. - Charges de fonct.,2017-03-20,2017-05-15,17246.25,17246.25,0,"This contract was competitively sourced.For a contract with task authorizations, the realized amount of the contract is contingent on the number of task authorizations issued and may be less than the amount proactively disclosed, dependent on the operational requirements of the department","Ce contrat a été attribué de façon concurrentielle.Pour un contrat avec autorisations de tâches, le montant réalisé du contrat dépend du nombre d’autorisations de tâches émises. Ce montant peut être inférieur au montant divulgué proactivement, en fonction des besoins opérationnels du ministère.",,,0,,,S,R109,CA,TC,0,0,,N,A65,N,N,,EN966-140305/036/ZF,C,,,,,,2016-2017-Q4,,,*,pwgsc-tpsgc,
C-2016-2017-Q4-01523,LSO60027801,ANAGRAMME,,,2017-03-23,494,Transl. Serv. - Operating Expenses,Serv. de trad. - Charges de fonct.,2017-03-24,2017-05-12,17246.25,17246.25,0,"This contract was competitively sourced.For a contract with task authorizations, the realized amount of the contract is contingent on the number of task authorizations issued and may be less than the amount proactively disclosed, dependent on the operational requirements of the department","Ce contrat a été attribué de façon concurrentielle.Pour un contrat avec autorisations de tâches, le montant réalisé du contrat dépend du nombre d’autorisations de tâches émises. Ce montant peut être inférieur au montant divulgué proactivement, en fonction des besoins opérationnels du ministère.",,,0,,,S,R109,CA,TC,0,0,,N,A65,N,N,PWSOSA,EN966-140305/098/ZF,C,,,,,,2016-2017-Q4,,,*,pwgsc-tpsgc,
C-2016-2017-Q4-01343,EP361727-4,COSSETTE COMMUNICATIONS INC.,,,2017-03-22,301,Advertising Services,Services de réclame,2017-03-22,2017-03-31,36612,36612,0,This contract was competitively sourced.,Ce contrat a été attribué de façon concurrentielle.,,,0,,,S,T003,CA,TC,0,0,,N,A65,N,N,,EP361-172707/004/CZ,C,,,,,,2016-2017-Q4,,,*,pwgsc-tpsgc,
C-2016-2017-Q4-01505,LSM60543801,AMM ARABIC TRANSLATION & INTERPRETATION SERVICES INC.,,,2017-03-22,494,Transl. Serv. - Operating Expenses,Serv. de trad. - Charges de fonct.,2017-03-22,2018-03-21,16872.58,16872.58,0,"This contract was competitively sourced.For a contract with task authorizations, the realized amount of the contract is contingent on the number of task authorizations issued and may be less than the amount proactively disclosed, dependent on the operational requirements of the department","Ce contrat a été attribué de façon concurrentielle.Pour un contrat avec autorisations de tâches, le montant réalisé du contrat dépend du nombre d’autorisations de tâches émises. Ce montant peut être inférieur au montant divulgué proactivement, en fonction des besoins opérationnels du ministère.",,,0,,,S,R109,CA,TC,0,0,,N,A65,N,N,,,C,,,,,,2016-2017-Q4,,,*,pwgsc-tpsgc,
C-2016-2017-Q4-01529,LSO60028002,CSF INC.,,,2017-03-23,494,Transl. Serv. - Operating Expenses,Serv. de trad. - Charges de fonct.,2017-03-24,2017-03-31,12647.25,12647.25,0,"This contract was competitively sourced.For a contract with task authorizations, the realized amount of the contract is contingent on the number of task authorizations issued and may be less than the amount proactively disclosed, dependent on the operational requirements of the department","Ce contrat a été attribué de façon concurrentielle.Pour un contrat avec autorisations de tâches, le montant réalisé du contrat dépend du nombre d’autorisations de tâches émises. Ce montant peut être inférieur au montant divulgué proactivement, en fonction des besoins opérationnels du ministère.",,,0,,,S,R109,CA,TC,0,0,,N,A65,N,N,PWSOSA,EN966-140305/024/ZF,C,,,,,,2016-2017-Q4,,,*,pwgsc-tpsgc,
C-2016-2017-Q4-01524,LSO60027802,TRADUCTIONS HEIMGOOD INC.,,,2017-03-23,494,Transl. Serv. - Operating Expenses,Serv. de trad. - Charges de fonct.,2017-03-24,2017-05-12,18970.88,18970.88,0,"This contract was competitively sourced.For a contract with task authorizations, the realized amount of the contract is contingent on the number of task authorizations issued and may be less than the amount proactively disclosed, dependent on the operational requirements of the department","Ce contrat a été attribué de façon concurrentielle.Pour un contrat avec autorisations de tâches, le montant réalisé du contrat dépend du nombre d’autorisations de tâches émises. Ce montant peut être inférieur au montant divulgué proactivement, en fonction des besoins opérationnels du ministère.",,,0,,,S,R109,CA,TC,0,0,,N,A65,N,N,PWSOSA,EN966-140305/108/ZF,C,,,,,,2016-2017-Q4,,,*,pwgsc-tpsgc,
C-2016-2017-Q4-01511,LSO50032802A,CSF INC.,,,2017-03-21,494,Transl. Serv. - Operating Expenses,Serv. de trad. - Charges de fonct.,2016-03-21,2018-03-20,632362.5,301809.38,330553.12,"This contract was competitively sourced.This contract includes one or more amendments.Exercising options / option year.This contract is a multi-year contract.For a contract with task authorizations, the realized amount of the contract is contingent on the number of task authorizations issued and may be less than the amount proactively disclosed, dependent on the operational requirements of the department","Ce contrat a été attribué de façon concurrentielle.Ce contrat comprend une ou plusieurs modifications.Exercice des options / année d'option.Ce contrat est un contrat pluriannuel.Pour un contrat avec autorisations de tâches, le montant réalisé du contrat dépend du nombre d’autorisations de tâches émises. Ce montant peut être inférieur au montant divulgué proactivement, en fonction des besoins opérationnels du ministère.",,,0,,,S,R109,CA,TC,0,0,,N,A65,N,N,PWSOSA,EN966-140305/024/ZF,A,,,,,,2016-2017-Q4,,,*,pwgsc-tpsgc,
C-2016-2017-Q4-01506,LSM60544201,SIMDEN PILON TRANSLATION SERVICES,,,2017-03-28,494,Transl. Serv. - Operating Expenses,Serv. de trad. - Charges de fonct.,2017-03-28,2018-03-27,15809.06,15809.06,0,"This contract was competitively sourced.For a contract with task authorizations, the realized amount of the contract is contingent on the number of task authorizations issued and may be less than the amount proactively disclosed, dependent on the operational requirements of the department","Ce contrat a été attribué de façon concurrentielle.Pour un contrat avec autorisations de tâches, le montant réalisé du contrat dépend du nombre d’autorisations de tâches émises. Ce montant peut être inférieur au montant divulgué proactivement, en fonction des besoins opérationnels du ministère.",,,0,,,S,R109,CA,TC,0,0,,N,A65,N,N,,,C,,,,,,2016-2017-Q4,,,*,pwgsc-tpsgc,
C-2016-2017-Q4-01507,LSO50030101A,TRADUCTIONS ABS INC.,,,2017-03-31,494,Transl. Serv. - Operating Expenses,Serv. de trad. - Charges de fonct.,2016-04-01,2018-03-29,206955,103477.5,103477.5,"This contract was competitively sourced.This contract includes one or more amendments.Exercising options / option year.This contract is a multi-year contract.For a contract with task authorizations, the realized amount of the contract is contingent on the number of task authorizations issued and may be less than the amount proactively disclosed, dependent on the operational requirements of the department","Ce contrat a été attribué de façon concurrentielle.Ce contrat comprend une ou plusieurs modifications.Exercice des options / année d'option.Ce contrat est un contrat pluriannuel.Pour un contrat avec autorisations de tâches, le montant réalisé du contrat dépend du nombre d’autorisations de tâches émises. Ce montant peut être inférieur au montant divulgué proactivement, en fonction des besoins opérationnels du ministère.",,,0,,,S,R109,CA,TC,0,0,,N,A65,N,N,PWSOSA,EN966-140305/106/ZF,A,,,,,,2016-2017-Q4,,,*,pwgsc-tpsgc,
C-2016-2017-Q4-01508,LSO50030401A,"LEBEAU, MANON",,,2017-03-31,494,Transl. Serv. - Operating Expenses,Serv. de trad. - Charges de fonct.,2016-04-01,2018-03-29,229950,114975,114975,"This contract was competitively sourced.This contract includes one or more amendments.Exercising options / option year.This contract is a multi-year contract.For a contract with task authorizations, the realized amount of the contract is contingent on the number of task authorizations issued and may be less than the amount proactively disclosed, dependent on the operational requirements of the department","Ce contrat a été attribué de façon concurrentielle.Ce contrat comprend une ou plusieurs modifications.Exercice des options / année d'option.Ce contrat est un contrat pluriannuel.Pour un contrat avec autorisations de tâches, le montant réalisé du contrat dépend du nombre d’autorisations de tâches émises. Ce montant peut être inférieur au montant divulgué proactivement, en fonction des besoins opérationnels du ministère.",,,0,,,S,R109,CA,TC,0,0,,N,A65,N,N,PWSOSA,EN966-140305/067/ZF,A,,,,,,2016-2017-Q4,,,*,pwgsc-tpsgc,
C-2016-2017-Q4-01509,LSO50030501A,SOLUDOC INC.,,,2017-03-31,494,Transl. Serv. - Operating Expenses,Serv. de trad. - Charges de fonct.,2016-04-01,2018-03-29,546131.25,273065.63,273065.62,"This contract was competitively sourced.This contract includes one or more amendments.Exercising options / option year.This contract is a multi-year contract.For a contract with task authorizations, the realized amount of the contract is contingent on the number of task authorizations issued and may be less than the amount proactively disclosed, dependent on the operational requirements of the department","Ce contrat a été attribué de façon concurrentielle.Ce contrat comprend une ou plusieurs modifications.Exercice des options / année d'option.Ce contrat est un contrat pluriannuel.Pour un contrat avec autorisations de tâches, le montant réalisé du contrat dépend du nombre d’autorisations de tâches émises. Ce montant peut être inférieur au montant divulgué proactivement, en fonction des besoins opérationnels du ministère.",,,0,,,S,R109,CA,TC,0,0,,N,A65,N,N,PWSOSA,EN966-140305/094/ZF,A,,,,,,2016-2017-Q4,,,*,pwgsc-tpsgc,
C-2016-2017-Q4-01510,LSO50032801A,TRADUCTEURS REUNIS S.C.C. (LES),,,2017-03-21,494,Transl. Serv. - Operating Expenses,Serv. de trad. - Charges de fonct.,2016-03-21,2018-03-20,632362.5,316181.25,316181.25,"This contract was competitively sourced.This contract includes one or more amendments.Exercising options / option year.This contract is a multi-year contract.For a contract with task authorizations, the realized amount of the contract is contingent on the number of task authorizations issued and may be less than the amount proactively disclosed, dependent on the operational requirements of the department","Ce contrat a été attribué de façon concurrentielle.Ce contrat comprend une ou plusieurs modifications.Exercice des options / année d'option.Ce contrat est un contrat pluriannuel.Pour un contrat avec autorisations de tâches, le montant réalisé du contrat dépend du nombre d’autorisations de tâches émises. Ce montant peut être inférieur au montant divulgué proactivement, en fonction des besoins opérationnels du ministère.",,,0,,,S,R109,CA,TC,0,0,,N,A65,N,N,PWSOSA,EN966-140305/062/ZF,A,,,,,,2016-2017-Q4,,,*,pwgsc-tpsgc,
C-2016-2017-Q4-01512,LSO50032901A,EXACT LEGAL TRANSLATIONS INC.,,,2017-03-21,494,Transl. Serv. - Operating Expenses,Serv. de trad. - Charges de fonct.,2016-03-21,2018-03-20,287437.5,143718.75,143718.75,"This contract was competitively sourced.This contract includes one or more amendments.Exercising options / option year.This contract is a multi-year contract.For a contract with task authorizations, the realized amount of the contract is contingent on the number of task authorizations issued and may be less than the amount proactively disclosed, dependent on the operational requirements of the department","Ce contrat a été attribué de façon concurrentielle.Ce contrat comprend une ou plusieurs modifications.Exercice des options / année d'option.Ce contrat est un contrat pluriannuel.Pour un contrat avec autorisations de tâches, le montant réalisé du contrat dépend du nombre d’autorisations de tâches émises. Ce montant peut être inférieur au montant divulgué proactivement, en fonction des besoins opérationnels du ministère.",,,0,,,S,R109,CA,TC,0,0,,N,A65,N,N,PWSOSA,EN966-140305/036/ZF,A,,,,,,2016-2017-Q4,,,*,pwgsc-tpsgc,
C-2016-2017-Q4-01513,LSO50032902A,SERVICES LINGUISTIQUES UNIVERSELS / UNIVERSAL LINGUISTIC SERVICES,,,2017-03-21,494,Transl. Serv. - Operating Expenses,Serv. de trad. - Charges de fonct.,2016-03-21,2018-03-20,287437.5,143718.75,143718.75,"This contract was competitively sourced.This contract includes one or more amendments.Exercising options / option year.This contract is a multi-year contract.For a contract with task authorizations, the realized amount of the contract is contingent on the number of task authorizations issued and may be less than the amount proactively disclosed, dependent on the operational requirements of the department","Ce contrat a été attribué de façon concurrentielle.Ce contrat comprend une ou plusieurs modifications.Exercice des options / année d'option.Ce contrat est un contrat pluriannuel.Pour un contrat avec autorisations de tâches, le montant réalisé du contrat dépend du nombre d’autorisations de tâches émises. Ce montant peut être inférieur au montant divulgué proactivement, en fonction des besoins opérationnels du ministère.",,,0,,,S,R109,CA,TC,0,0,,N,A65,N,N,PWSOSA,EN966-140305/132/ZF,A,,,,,,2016-2017-Q4,,,*,pwgsc-tpsgc,
C-2016-2017-Q4-01522,LSO60027604,SOCIETE GAMMA INC.,,,2017-03-24,494,Transl. Serv. - Operating Expenses,Serv. de trad. - Charges de fonct.,2017-03-24,2017-04-07,17246.25,17246.25,0,"This contract was competitively sourced.For a contract with task authorizations, the realized amount of the contract is contingent on the number of task authorizations issued and may be less than the amount proactively disclosed, dependent on the operational requirements of the department","Ce contrat a été attribué de façon concurrentielle.Pour un contrat avec autorisations de tâches, le montant réalisé du contrat dépend du nombre d’autorisations de tâches émises. Ce montant peut être inférieur au montant divulgué proactivement, en fonction des besoins opérationnels du ministère.",,,0,,,S,R109,CA,TC,0,0,,N,A65,N,N,PWSOSA,EN966-140305/093/ZF,C,,,,,,2016-2017-Q4,,,*,pwgsc-tpsgc,
C-2016-2017-Q4-01514,LSO60020501B,"NEWEY, CHRISTOPHER",,,2017-03-21,494,Transl. Serv. - Operating Expenses,Serv. de trad. - Charges de fonct.,2016-11-30,2017-04-03,14486.85,12934.69,1552.16,This contract was competitively sourced.This contract includes one or more amendments.This contract was awarded to a former public servant,Ce contrat a été attribué de façon concurrentielle.Ce contrat comprend une ou plusieurs modifications.Ce contrat a été attribué à un ancien fonctionnaire,,,0,,,S,R109,CA,TC,0,0,,N,A65,N,Y,PWSOSA,EN966-140305/020/ZF,A,,,,,,2016-2017-Q4,,,*,pwgsc-tpsgc,
C-2016-2017-Q4-01515,LSO60027301,THE MASHA KRUPP TRANSLATION GROUP LIMITED,,,2017-03-23,494,Transl. Serv. - Operating Expenses,Serv. de trad. - Charges de fonct.,2017-03-24,2017-04-21,14659.31,14659.31,0,"This contract was competitively sourced.For a contract with task authorizations, the realized amount of the contract is contingent on the number of task authorizations issued and may be less than the amount proactively disclosed, dependent on the operational requirements of the department","Ce contrat a été attribué de façon concurrentielle.Pour un contrat avec autorisations de tâches, le montant réalisé du contrat dépend du nombre d’autorisations de tâches émises. Ce montant peut être inférieur au montant divulgué proactivement, en fonction des besoins opérationnels du ministère.",,,0,,,S,R109,CA,TC,0,0,,N,A65,N,N,PWSOSA,EN966-140305/208/ZF,C,,,,,,2016-2017-Q4,,,*,pwgsc-tpsgc,
C-2016-2017-Q4-01516,LSO60027302,CSF INC.,,,2017-03-23,494,Transl. Serv. - Operating Expenses,Serv. de trad. - Charges de fonct.,2017-03-24,2017-04-21,16383.94,16383.94,0,"This contract was competitively sourced.For a contract with task authorizations, the realized amount of the contract is contingent on the number of task authorizations issued and may be less than the amount proactively disclosed, dependent on the operational requirements of the department","Ce contrat a été attribué de façon concurrentielle.Pour un contrat avec autorisations de tâches, le montant réalisé du contrat dépend du nombre d’autorisations de tâches émises. Ce montant peut être inférieur au montant divulgué proactivement, en fonction des besoins opérationnels du ministère.",,,0,,,S,R109,CA,TC,0,0,,N,A65,N,N,PWSOSA,EN966-140305/024/ZF,C,,,,,,2016-2017-Q4,,,*,pwgsc-tpsgc,
C-2016-2017-Q4-01517,LSO60027401,THE MASHA KRUPP TRANSLATION GROUP LIMITED,,,2017-03-22,494,Transl. Serv. - Operating Expenses,Serv. de trad. - Charges de fonct.,2017-03-23,2017-05-31,14659.31,14659.31,0,"This contract was competitively sourced.For a contract with task authorizations, the realized amount of the contract is contingent on the number of task authorizations issued and may be less than the amount proactively disclosed, dependent on the operational requirements of the department","Ce contrat a été attribué de façon concurrentielle.Pour un contrat avec autorisations de tâches, le montant réalisé du contrat dépend du nombre d’autorisations de tâches émises. Ce montant peut être inférieur au montant divulgué proactivement, en fonction des besoins opérationnels du ministère.",,,0,,,S,R109,CA,TC,0,0,,N,A65,N,N,PWSOSA,EN966-140305/208/ZF,C,,,,,,2016-2017-Q4,,,*,pwgsc-tpsgc,
C-2016-2017-Q4-01518,LSO60027402,R&R INTERNATIONAL TRANSLATION SPECIALISTS INC.,,,2017-03-22,494,Transl. Serv. - Operating Expenses,Serv. de trad. - Charges de fonct.,2017-03-23,2017-05-31,15521.63,15521.63,0,"This contract was competitively sourced.For a contract with task authorizations, the realized amount of the contract is contingent on the number of task authorizations issued and may be less than the amount proactively disclosed, dependent on the operational requirements of the department","Ce contrat a été attribué de façon concurrentielle.Pour un contrat avec autorisations de tâches, le montant réalisé du contrat dépend du nombre d’autorisations de tâches émises. Ce montant peut être inférieur au montant divulgué proactivement, en fonction des besoins opérationnels du ministère.",,,0,,,S,R109,CA,TC,0,0,,N,A65,N,N,PWSOSA,EN966-140305/120/ZF,C,,,,,,2016-2017-Q4,,,*,pwgsc-tpsgc,
C-2016-2017-Q4-01519,LSO60027601A,THE MASHA KRUPP TRANSLATION GROUP LIMITED,,,2017-03-24,494,Transl. Serv. - Operating Expenses,Serv. de trad. - Charges de fonct.,2017-03-24,2017-04-07,14659.31,14659.31,0,"This contract was competitively sourced.For a contract with task authorizations, the realized amount of the contract is contingent on the number of task authorizations issued and may be less than the amount proactively disclosed, dependent on the operational requirements of the department","Ce contrat a été attribué de façon concurrentielle.Pour un contrat avec autorisations de tâches, le montant réalisé du contrat dépend du nombre d’autorisations de tâches émises. Ce montant peut être inférieur au montant divulgué proactivement, en fonction des besoins opérationnels du ministère.",,,0,,,S,R109,CA,TC,0,0,,N,A65,N,N,PWSOSA,EN966-140305/208/ZF,C,,,,,,2016-2017-Q4,,,*,pwgsc-tpsgc,
C-2016-2017-Q4-01520,LSO60027602A,DANIEL CREPEAU - IDEES,,,2017-03-24,494,Transl. Serv. - Operating Expenses,Serv. de trad. - Charges de fonct.,2017-03-24,2017-04-07,16383.94,16383.94,0,"This contract was competitively sourced.For a contract with task authorizations, the realized amount of the contract is contingent on the number of task authorizations issued and may be less than the amount proactively disclosed, dependent on the operational requirements of the department","Ce contrat a été attribué de façon concurrentielle.Pour un contrat avec autorisations de tâches, le montant réalisé du contrat dépend du nombre d’autorisations de tâches émises. Ce montant peut être inférieur au montant divulgué proactivement, en fonction des besoins opérationnels du ministère.",,,0,,,S,R109,CA,TC,0,0,,N,A65,N,N,PWSOSA,EN966-140305/028/ZF,C,,,,,,2016-2017-Q4,,,*,pwgsc-tpsgc,
C-2016-2017-Q4-01521,LSO60027603,R&R INTERNATIONAL TRANSLATION SPECIALISTS INC.,,,2017-03-24,494,Transl. Serv. - Operating Expenses,Serv. de trad. - Charges de fonct.,2017-03-24,2017-04-07,16383.94,16383.94,0,"This contract was competitively sourced.For a contract with task authorizations, the realized amount of the contract is contingent on the number of task authorizations issued and may be less than the amount proactively disclosed, dependent on the operational requirements of the department","Ce contrat a été attribué de façon concurrentielle.Pour un contrat avec autorisations de tâches, le montant réalisé du contrat dépend du nombre d’autorisations de tâches émises. Ce montant peut être inférieur au montant divulgué proactivement, en fonction des besoins opérationnels du ministère.",,,0,,,S,R109,CA,TC,0,0,,N,A65,N,N,PWSOSA,EN966-140305/120/ZF,C,,,,,,2016-2017-Q4,,,*,pwgsc-tpsgc,
C-2016-2017-Q4-01525,LSO60027803,SERVICE DE TRADUCTION POLYTEX ENR.,,,2017-03-23,494,Transl. Serv. - Operating Expenses,Serv. de trad. - Charges de fonct.,2017-03-24,2017-05-12,21557.81,21557.81,0,"This contract was competitively sourced.For a contract with task authorizations, the realized amount of the contract is contingent on the number of task authorizations issued and may be less than the amount proactively disclosed, dependent on the operational requirements of the department","Ce contrat a été attribué de façon concurrentielle.Pour un contrat avec autorisations de tâches, le montant réalisé du contrat dépend du nombre d’autorisations de tâches émises. Ce montant peut être inférieur au montant divulgué proactivement, en fonction des besoins opérationnels du ministère.",,,0,,,S,R109,CA,TC,0,0,,N,A65,N,N,PWSOSA,EN966-140305/003/ZF,C,,,,,,2016-2017-Q4,,,*,pwgsc-tpsgc,
C-2016-2017-Q4-01526,LSO60027804,TRADUCTEURS REUNIS S.C.C. (LES),,,2017-03-24,494,Transl. Serv. - Operating Expenses,Serv. de trad. - Charges de fonct.,2017-03-24,2017-05-12,25007.06,25007.06,0,"This contract was competitively sourced.For a contract with task authorizations, the realized amount of the contract is contingent on the number of task authorizations issued and may be less than the amount proactively disclosed, dependent on the operational requirements of the department","Ce contrat a été attribué de façon concurrentielle.Pour un contrat avec autorisations de tâches, le montant réalisé du contrat dépend du nombre d’autorisations de tâches émises. Ce montant peut être inférieur au montant divulgué proactivement, en fonction des besoins opérationnels du ministère.",,,0,,,S,R109,CA,TC,0,0,,N,A65,N,N,PWSOSA,EN966-140305/062/ZF,C,,,,,,2016-2017-Q4,,,*,pwgsc-tpsgc,
C-2016-2017-Q4-01527,LSO60027901,8399972 CANADA INC.,,,2017-03-24,494,Transl. Serv. - Operating Expenses,Serv. de trad. - Charges de fonct.,2017-03-27,2017-06-02,14659.31,14659.31,0,"This contract was competitively sourced.For a contract with task authorizations, the realized amount of the contract is contingent on the number of task authorizations issued and may be less than the amount proactively disclosed, dependent on the operational requirements of the department","Ce contrat a été attribué de façon concurrentielle.Pour un contrat avec autorisations de tâches, le montant réalisé du contrat dépend du nombre d’autorisations de tâches émises. Ce montant peut être inférieur au montant divulgué proactivement, en fonction des besoins opérationnels du ministère.",,,0,,,S,R109,CA,TC,0,0,,N,A65,N,N,PWSOSA,EN966-140305/131/ZF,C,,,,,,2016-2017-Q4,,,*,pwgsc-tpsgc,
C-2016-2017-Q4-01530,LSO60028101,THE MASHA KRUPP TRANSLATION GROUP LIMITED,,,2017-03-30,494,Transl. Serv. - Operating Expenses,Serv. de trad. - Charges de fonct.,2017-03-30,2017-04-05,11143.7,11143.7,0,"This contract was competitively sourced.For a contract with task authorizations, the realized amount of the contract is contingent on the number of task authorizations issued and may be less than the amount proactively disclosed, dependent on the operational requirements of the department","Ce contrat a été attribué de façon concurrentielle.Pour un contrat avec autorisations de tâches, le montant réalisé du contrat dépend du nombre d’autorisations de tâches émises. Ce montant peut être inférieur au montant divulgué proactivement, en fonction des besoins opérationnels du ministère.",,,0,,,S,R109,CA,TC,0,0,,N,A65,N,N,PWSOSA,EN966-140305/208/ZF,C,,,,,,2016-2017-Q4,,,*,pwgsc-tpsgc,
C-2016-2017-Q4-01573,700372820,HYPERACTIVE PRODUCTIONS INC.,,,2017-01-23,491,Management Consulting,Services de conseillers en gestion,2017-01-23,2017-03-31,12934.69,12934.69,0,This contract was competitively sourced.This contract is a call-up against a PWGSC Procurement tool.Management Consultants - OPEX.,Ce contrat a été attribué de façon concurrentielle.Ce contrat est une commande subséquente à un outil d'approvisionnement de TPSGC.Conseillers en gestion - FE.,,,0,,,S,T005,CA,TC,0,0,,N,A65,N,N,PWSOSA,EN578-133360/018/CX,C,,,,,,2016-2017-Q4,,,*,pwgsc-tpsgc,
C-2016-2017-Q4-01836,700375561,PHOENIX STRATEGIC PERSPECTIVES INC.,,,2017-02-21,446,Training Consultants,Conseillers en formation,2017-02-21,2018-03-30,12610.8,12610.8,0,This contract was competitively sourced.This contract is a multi-year contract.Hired Training Consultants - OPEX.,Ce contrat a été attribué de façon concurrentielle.Ce contrat est un contrat pluriannuel.Conseillers en formation embauchés - FE.,,,0,,,S,U004,CA,TC,0,0,,N,A65,N,N,,,C,,,,,,2016-2017-Q4,,,*,pwgsc-tpsgc,
C-2017-2018-Q3-02392,LSM70515901,WINTRANSLATION,,,2017-10-02,494,Translation Services,Services de traduction,2017-10-02,2018-10-01,10922.63,10922.63,0,This contract was competitively sourced.,Ce contrat a été attribué de façon concurrentielle.Services de traduction,,,,,,S,R109,CA,TC,0,0,,N,A65,N,,PWSOSA,,C,,,,,,2017-2018-Q3,,,*,pwgsc-tpsgc,
C-2017-2018-Q2-01415,700392615,405 MADISON AVENUE INC.,,,2017-09-29,446,Training consultants,Conseillers en formation,2017-09-29,2018-03-31,12430,12430,0,This contract was sole-sourced.Hired Training Consultants - OPEX,Ce contrat a été attribué à un fournisseur exclusif.Conseillers en formation,,,0,,,S,U004,CA,TN,85,0,,N,A65,N,N,,,C,,,,,,2017-2018-Q2,,,*,pwgsc-tpsgc,
C-2017-2018-Q3-02397,LSM70518201,WINTRANSLATION,,,2017-10-23,494,Translation Services,Services de traduction,2017-10-23,2018-10-22,20695.5,20695.5,0,This contract was competitively sourced.,Ce contrat a été attribué de façon concurrentielle.Services de traduction,,,,,,S,R109,CA,TC,0,0,,N,A65,N,,PWSOSA,,C,,,,,,2017-2018-Q3,,,*,pwgsc-tpsgc,
C-2017-2018-Q2-01818,EN57851607,MDOS CONSULTING INC.,,,2017-09-13,491,Management consulting,Services de conseillers en gestion,2015-01-14,2017-12-31,343969.43,691781.26,40241.25,This contract was competitively sourced.This contract includes one or more amendments.This contract is a multi-year contract.Management Consultants - OPEX,Ce contrat a été attribué de façon concurrentielle.Ce contrat comprend une ou plusieurs modifications.Ce contrat est un contrat pluriannuel.Services de conseillers en gestion,,,0,,,S,D302,CA,TC,0,0,,N,A65,N,N,,,A,,,,,,2017-2018-Q2,,,*,pwgsc-tpsgc,
C-2017-2018-Q2-01844,EN89140419,CAISSE CENTRALE DESJARDINS,,,2017-09-22,3253,Interest and service charges paid to financial institutions,Intérêt et frais payés aux institutions financières,2014-03-10,2018-07-31,4010152.96,2857272.97,1152879.99,This contract was competitively sourced.This contract includes one or more amendments.This contract is a multi-year contract.,Ce contrat a été attribué de façon concurrentielle.Ce contrat comprend une ou plusieurs modifications.Ce contrat est un contrat pluriannuel.Intérêt et frais payés aux institutions financières,,,0,,,S,L099,CA,TC,0,0,,N,A65,N,N,,,A,,,,,,2017-2018-Q2,,,*,pwgsc-tpsgc,
C-2017-2018-Q2-01866,EP361-TA70,ACART COMMUNICATIONS INC.,,,2017-07-11,301,Advertising services,Services de réclame,2017-07-11,2018-03-31,16475.4,16475.4,0,This contract was competitively sourced.,Ce contrat a été attribué de façon concurrentielle.Services de réclame,,,0,,,S,T003,CA,TC,0,0,,N,A65,N,N,,EP361-140512/001/CZ,C,,,,,,2017-2018-Q2,,,*,pwgsc-tpsgc,
